x,y,Elevation,River,Terrain,Vegetation
1,1,0,FALSE,ocean,none
1,2,0,FALSE,ocean,none
1,3,0,FALSE,ocean,none
1,4,0,FALSE,ocean,none
1,5,0,FALSE,ocean,none
1,6,0,FALSE,ocean,none
1,7,0,FALSE,ocean,none
1,8,0,FALSE,ocean,none
1,9,0,FALSE,ocean,none
1,10,0,FALSE,ocean,none
1,11,0,FALSE,ocean,none
1,12,0,FALSE,ocean,none
1,13,0,FALSE,ocean,none
1,14,0,FALSE,ocean,none
1,15,0,FALSE,ocean,none
1,16,0,FALSE,ocean,none
1,17,0,FALSE,ocean,none
1,18,0,FALSE,ocean,none
1,19,0,FALSE,ocean,none
1,20,0,FALSE,ocean,none
1,21,0,FALSE,ocean,none
1,22,0,FALSE,ocean,none
1,23,0,FALSE,ocean,none
1,24,0,FALSE,ocean,none
1,25,0,FALSE,ocean,none
1,26,0,FALSE,ocean,none
1,27,0,FALSE,ocean,none
1,28,0,FALSE,ocean,none
1,29,0,FALSE,ocean,none
1,30,0,FALSE,ocean,none
1,31,0,FALSE,ocean,none
1,32,0,FALSE,ocean,none
1,33,0,FALSE,ocean,none
1,34,0,FALSE,ocean,none
1,35,0,FALSE,ocean,none
1,36,0,FALSE,ocean,none
1,37,0,FALSE,ocean,none
1,38,0,FALSE,ocean,none
1,39,0,FALSE,ocean,none
1,40,0,FALSE,ocean,none
1,41,0,FALSE,ocean,none
1,42,0,FALSE,ocean,none
1,43,0,FALSE,ocean,none
1,44,0,FALSE,ocean,none
1,45,0,FALSE,ocean,none
1,46,0,FALSE,ocean,none
1,47,0,FALSE,ocean,none
1,48,0,FALSE,ocean,none
1,49,0,FALSE,ocean,none
1,50,0,FALSE,ocean,none
1,51,0,FALSE,ocean,none
1,52,0,FALSE,ocean,none
1,53,0,FALSE,ocean,none
1,54,0,FALSE,ocean,none
1,55,0,FALSE,ocean,none
1,56,0,FALSE,ocean,none
1,57,0,FALSE,ocean,none
1,58,0,FALSE,ocean,none
1,59,0,FALSE,ocean,none
1,60,0,FALSE,ocean,none
1,61,0,FALSE,ocean,none
1,62,0,FALSE,ocean,none
1,63,0,FALSE,ocean,none
1,64,0,FALSE,ocean,none
1,65,0,FALSE,ocean,none
1,66,0,FALSE,ocean,none
1,67,0,FALSE,ocean,none
1,68,0,FALSE,ocean,none
1,69,0,FALSE,ocean,none
1,70,0,FALSE,ocean,none
1,71,0,FALSE,ocean,none
1,72,0,FALSE,ocean,none
1,73,0,FALSE,ocean,none
1,74,0,FALSE,ocean,none
1,75,0,FALSE,ocean,none
1,76,0,FALSE,ocean,none
1,77,0,FALSE,ocean,none
1,78,0,FALSE,ocean,none
1,79,0,FALSE,ocean,none
1,80,0,FALSE,ocean,none
1,81,0,FALSE,ocean,none
1,82,0,FALSE,ocean,none
1,83,0,FALSE,ocean,none
1,84,0,FALSE,ocean,none
1,85,0,FALSE,ocean,none
1,86,0,FALSE,ocean,none
1,87,0,FALSE,ocean,none
1,88,0,FALSE,ocean,none
1,89,0,FALSE,ocean,none
1,90,0,FALSE,ocean,none
1,91,0,FALSE,ocean,none
1,92,0,FALSE,ocean,none
1,93,0,FALSE,ocean,none
1,94,0,FALSE,ocean,none
1,95,0,FALSE,ocean,none
1,96,0,FALSE,ocean,none
1,97,0,FALSE,ocean,none
1,98,0,FALSE,ocean,none
1,99,0,FALSE,ocean,none
1,100,0,FALSE,ocean,none
2,1,0,FALSE,ocean,none
2,2,0,FALSE,ocean,none
2,3,0,FALSE,ocean,none
2,4,0,FALSE,ocean,none
2,5,0,FALSE,ocean,none
2,6,0,FALSE,ocean,none
2,7,0,FALSE,ocean,none
2,8,0,FALSE,ocean,none
2,9,0,FALSE,ocean,none
2,10,0,FALSE,ocean,none
